0.000000000000000000e+00,3.376002445505089877e+00
3.018216015918936609e-02,2.402853628329006119e-02
1.454958224633178671e-02,1.724360545240490039e-02
1.240730739857428579e-02,1.013937433523451337e-02
9.084481222942834486e-03,7.021036141702605843e-03
4.206404002461023965e-03,4.899751467366222045e-03
2.939486119928021775e-03,5.458533457252135249e-03
4.062865509838338787e-03,5.880861684085828163e-03
4.802081627062752128e-03,4.570188201964644863e-03
3.850650610725384060e-03,4.143110281041975478e-03
3.835134529895315152e-03,4.005109540250319927e-03
3.907456415895016466e-03,3.444572097739185147e-03
3.084391977513112251e-03,2.475221496784785289e-03
1.968350424970737207e-03,2.443559151975885531e-03
1.697664290546349554e-03,1.682453761022219404e-03
1.473048749810328215e-03,1.724033906227481327e-03
1.377392712469603783e-03,1.629692718431739089e-03
1.233955068026745599e-03,1.592571476372827343e-03
1.060061448597031863e-03,1.601831106540940308e-03
8.342618258493319410e-04,1.549999002346710321e-03
8.650806446870614981e-04,1.524341100735257396e-03
